film,naslov,leto,opis,trajanje,ocena_kritikov,oznaka,igralci,reziserji,zanri,drzave,teme,oznake
960,Mulholland Drive,2001,"David Lynch wrote and directed this look at two women who find themselves walking a fine line between truth and deception in the beautiful but dangerous netherworld of Hollywood. A beautiful woman (Laura Elena Harring) riding in a limousine along Los Angeles' Mulholland Drive is targeted by a would-be shooter, but before he can pull the trigger, she is injured when her limo is hit by another car. The woman stumbles from the wreck with a head wound, and in time makes her way into an apartment with no idea of where or who she is. As it turns out, the apartment is home to an elderly woman who is out of town, and is allowing her niece Betty (Naomi Watts) to stay there; Betty is a small-town girl from Canada who wants to be an actress, and her aunt was able to arrange an audition with a film director for her. Betty befriends the injured woman, who begins calling herself ""Rita"" after seeing a poster of Rita Hayworth. While Betty's audition impresses a casting agent, and she catches the eye of  hotshot director Adam Kesher (Justin Theroux), Kesher's producers and moneymen insist with no small vehemence that he instead cast a woman named Camilla Rhodes. As Rita attempts to put the pieces of her life back together, she pulls the name Diane Selwyn from her memory; Rita thinks it could be her real name, but when she and Betty find a listing for Diane Selwyn and visit her apartment, they discover the latest victim of a mysterious killer who is eluding police detective Harry McKnight (Robert Forster). Rita's emotional identity soon takes a left turn, and it turns out that neither woman is quite who she once appeared to be. David Lynch originally conceived Mulholland Drive as the pilot film for a television series; after the ABC television network rejected the pilot and declined to air it, the French production film StudioCanal took over the project, and Lynch reshot and re-edited the material into a theatrical feature. The resulting version of Mulholland Drive premiered at the 2001 Cannes Film Festival, where David Lynch shared Best Director honors with Joel Coen.",147,9,R,"['Naomi Watts', 'Justin Theroux', 'Ann Miller', 'Robert Forster', 'Dan Hedaya', 'Mark Pellegrino', 'Brian Beacock', 'Michael J. Anderson', 'Kate Forster', 'Diane Baker', 'Scott Coffey', 'Billy Ray Cyrus', 'Chad Everett', 'Sean E. Markland', 'Brent Briscoe', 'Katharine Towne', 'Lee Grant', 'Scott Wulff', 'Monty Montgomery', 'Rita Taggart', 'James Karen', 'Angelo Badalamenti', 'Michael Des Barres', 'Marcus Graham', 'Missy Crider', 'Robert Katims', 'Jeanne Bates', 'Dan Birnbaum', 'Maya Bond', 'Patrick Fischler', 'Michael Cooke', 'Bonnie Aarons', 'Joseph Kearney', 'Enrique Buelna', 'Richard Mead', 'Daniel Rey', 'David Schroeder', 'Tom Morris', 'Melissa George', 'Matt Gallini', 'Vincent Castellanos', 'Diane Nelson', 'Charlie Croughwell', 'Rena Riffel', 'Tad Horino', 'Tony Longo', 'Geno Silva', 'Lafayette Montgomery', 'Wayne Grace', 'Lisa Ferguson', 'Michele Hicks', 'Elizabeth Lackey', 'Blake Lindsley', 'Adrien Curry', 'Tyrah M. Lindsey', 'Michael Weatherred', 'Michael Fairman', 'Johanna Stein', 'Richard Green', 'Conte Candoli', 'Cori Glazer', 'Rebekah Del Rio', 'Lyssie Powell', 'Kimberly Clever', 'Joshua Collazo', 'David Frutos', 'Peter Loggins', 'Theresa Salazar', 'Thea Samuels', 'Christian Thompson', 'Laura Harring', 'William Ostrander', 'Laura Harrington', 'Randall Wulff', 'Sean Everett', 'Lori Heuring', 'Mo Gallini']",['David Lynch'],"['Drama', 'Mystery', 'Thriller']","['France', 'United States']","['Amnesia', 'Filmmaking', 'Woman In Jeopardy']","['Not For Children', 'Nudity', 'Strong Sexual Content', 'Violence']"
961,F for Fake,1973,"The final directorial project the legendary Orson Welles completed during his lifetime, F for Fake is less a documentary than an example of cinematic free association on the topic of trickery. Much of the film is in fact drawn from other sources, most notably an unfinished documentary by Francois Reichenbach on the notorious Elmyr de Hory, whose extremely skillful forgeries of famous paintings caused scandals amongst art collectors and experts. In an additional bit of irony, de Hory's interviewer is author Clifford Irving, who became infamous due to a forgery of his own: a falsified autobiography of Howard Hughes. Welles openly re-edits and manipulates this footage, using it as a spine for his own commentary, arguing that there is an extremely close relationship between art and lying, and citing instances from his own career to prove the point. Through a combination of documentary and staged footage, Welles attempts to illustrate the artifice behind all filmmaking, even that of a supposedly non-fiction variety.",85,10,PG,"['Orson Welles', 'Oja Kodar', 'Joseph Cotten', 'François Reichenbach', 'Paul Stewart', 'Gary Graver', 'Peter Bogdanovich', 'William Alland', 'Orson Welles', 'Oja Kodar']",['Orson Welles'],"['Language & Literature', 'Crime']","['France', 'Iran']","['Cons and Scams', 'Life in the Arts']",[]
962,Rosemary's Baby,1968,"In Roman Polanski's first American film, adapted from Ira Levin's horror bestseller, a young wife comes to believe that her offspring is not of this world. Waifish Rosemary Woodhouse (Mia Farrow) and her struggling actor husband, Guy (John Cassavetes), move into the Bramford, an old New York City apartment building with an ominous reputation and only elderly residents. Neighbors Roman and Minnie Castevet (Sidney Blackmer and Ruth Gordon) soon come nosing around to welcome the Woodhouses to the building; despite Rosemary's reservations about their eccentricity and the weird noises that she keeps hearing, Guy starts spending time with the Castevets. Shortly after Guy lands a plum Broadway role, Minnie starts showing up with homemade chocolate mousse for Rosemary. When Rosemary becomes pregnant after a mousse-provoked nightmare of being raped by a beast, the Castevets take a special interest in her welfare. As the sickened Rosemary becomes increasingly isolated, she begins to suspect that the Castevets' circle is not what it seems. The diabolical truth is revealed only after Rosemary gives birth, and the baby is taken away from her. Polanski's camerawork and Richard Sylbert's production design transform the realistic setting (shot on-location in Manhattan's Dakota apartment building) into a sinister projection of Rosemary's fears, chillingly locating supernatural horror in the familiar by leaving the most grotesque frights to the viewer's imagination. This apocalyptic yet darkly comic paranoia about the hallowed institution of childbirth touched a nerve with late-'60s audiences feeling uneasy about traditional norms. Produced by B-horror maestro William Castle, Rosemary's Baby became a critically praised hit, winning Gordon an Oscar for Best Supporting Actress. Inspiring a wave of satanic horror from The Exorcist (1973) to The Omen (1976), Rosemary's Baby helped usher in the genre's modern era by combining a supernatural story with Alfred Hitchcock's propensity for finding normality horrific.",137,9,R,"['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Maurice Evans', 'Sidney Blackmer', 'Ralph Bellamy', 'Patsy Kelly', 'Charles Grodin', 'Victoria Vetri', 'Emmaline Henry', 'Marianne Gordon', 'Phil Leeds', 'Hope Summers', 'Wende Wagner', 'Hanna Landy', 'Gordon Connell', 'Janet Garland', 'Joan T. Reilly', 'Patricia Ann Conway', 'William Castle', 'Walter Baldwin', 'Charlotte Boerner', 'Sebastian Brooks', 'Ernest Kazuyoshi Harada', 'Natalie Masters', 'Elmer Modlin', ""Patricia O'Neal"", 'Robert Osterloh', 'Almira Sessions', 'Bruno Sidar', 'Roy Barcroft', ""D'Urville Martin"", 'Bill Baldwin', 'George Savalas', 'Viki Vigen', 'Marilyn Harvey', 'Paul Denton', 'Frank White', 'Mary Louise Lawson', 'Gale Peters', 'George Ross Robertson', 'Carol Brewster', 'Clay Tanner', 'Michael Shillo', 'Jean Inness', 'Lynn Brinker', 'Michel Gómez', 'Linda Brewerton', 'Mona Knox', 'Joyce Davis', 'Floyd Mutrux', 'Josh Peine', 'Duke Fishman', 'Al Szathmary', 'John Halloran', 'Elisha Cook Jr.', 'Zoe Saldana', 'Patrick J. Adams', 'Carole Bouquet', 'Christina Cole', 'Jason Isaacs', 'Olivier Rabourdin', 'François Civil', 'Stany Coppet', 'Stefano Cassetti', 'Guillaume Dabinpons', 'Ernest Harada', 'Walter S. Baldwin', 'Gail Bonney', 'Tony Curtis']","['Roman Polański', 'Agnieszka Holland']","['Action', 'Adventure', 'Thriller']",['United States'],"['Woman In Jeopardy', 'Deal With the Devil', 'Demonic Possession', 'Devil Worship', 'Expecting a Baby', 'Mind Games', 'Switching Sides', ""Wolf in Sheep's Clothing""]","['Adult Situations', 'Not For Children', 'Violence']"
963,Reservoir Dogs,1992,"In 1992, Reservoir Dogs transformed Quentin Tarantino practically overnight from an obscure, unproduced screenwriter and part-time actor to the most influential new filmmaker of the 1990s. The story looks at what happens before and after (but not during) a botched jewelry store robbery organized by Joe Cabot (Lawrence Tierney). Mr. White (Harvey Keitel) is a career criminal who takes a liking to newcomer Mr. Orange (Tim Roth) and enjoys showing him the ropes. Mr. Pink (Steve Buscemi) is a weaselly loner obsessed with professionalism. Mr. Blonde (Michael Madsen) has just gotten out of jail after taking the rap on a job for Cabot; he's grateful for the work but isn't the same person he used to be. While Mr. Blonde goes nuts during the heist, the thieves are surprised by the sudden arrival of the police, and Mr. Pink is convinced one of their team is a cop. So who's the rat? What do they do about Mr. Blonde? And what do they do with Mr. Orange, who took a bullet in the gut and is slowly bleeding to death? Reservoir Dogs jumps back and forth between pre-  and post-robbery events, occasionally putting the narrative on pause to let the characters discuss such topics as the relative importance of tipping, who starred in Get Christie Love!, and what to do when you enter a men's room full of cops carrying a briefcase full of marijuana.",99,10,R,"['Harvey Keitel', 'Chris Penn', 'Tim Roth', 'Michael Madsen', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino', 'Michael Sottile', 'Rich Turner', 'Linda Kaye', 'David Steen', 'Tony Cosmo', 'Stevo Polyi', 'Robert Ruth', 'Lawrence Bender', 'Suzanne Celeste', 'Steven Wright', 'Steven Wright', 'Rowland Wafford', 'Scott McElroy', 'Jeff Sheaffer']","['Quentin Tarantino', 'Lawrence Bender']","['Mystery', 'Action', 'Adventure']",['United States'],"['Crime Gone Awry', 'Dishonor Among Thieves', 'Going Undercover']","['Adult Situations', 'Graphic Violence', 'Not For Children', 'Profanity']"
964,Alita: Battle Angel,2019,"Director Robert Rodriguez’s cyberpunk action film is based on Gunnm, a manga series that was created by Yukito Kishiro in 1993.  Produced by James Cameron and Jon Landau, the narrative unfolds in a post-apocalyptic dystopia caused by a technological catastrophe. A scientist (Christoph Waltz) finds and mends a cyborg (Rosa Salazar) who has lost all her memories but retains her mastery of lost cyborg martial arts. The film also features Jennifer Connelly, Mahershala Ali, and Michelle Rodriguez in supporting roles.",122,8,PG13,"['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali', 'Ed Skrein', 'Jackie Earle Haley', 'Keean Johnson', 'Eiza González', 'Michelle Rodriguez', 'Casper Van Dien', 'Jeff Fahey', 'Derek Mears', 'Samuel Medina', 'Idara Victor', 'Liza Wilk', 'Tristan Riggs', 'Tuana Allen', 'Marko Zaror', 'Amanda Marie Wilkinson', 'Charlotte Delaney Riggs', 'Jorge A. Jimenez', 'Trezure Hunter', 'Billy Blair', 'Alex Nicole McConnell', 'Elizabeth Marie Tabish', 'Marie', 'Zara Majidpour', 'Keil Oakley Zepernick', 'Marie-Claire Huff', 'Rachel Prieto', 'Leonard Wu', 'Don Daro', 'Robert Lloyd Moore', 'Alex Moore', 'Derrick Gilbert', 'Alan Nguyen', 'Lauren Montemayor', 'Rick Lee', 'Gary Teague', 'Heath Young', 'Alex Livinalli', 'Michael W. Bunch', 'Michael Love Toliver', 'Jamie Landau', 'Gregory Alexander Wight', 'Perla Rodriguez', 'Kaylon Teamer', 'Marque Hernandez', 'Paulina Manseau', 'Shayla Allen', 'Bill Foster', 'Danny Hogan', 'Neal Kodinsky', 'Darcel Danielle', 'Marina Aligh', 'Patrick Gathron', 'Jo Lorio', 'Ryan T. Johnson', 'Casie Luong', 'Drake Malone', 'Jessica Polk', 'Cindy Dire', 'Tony Guerrero', 'Devin Northrip', 'Antoinette Anders', 'Nina Hargis', 'John Kaler', 'Michael Wakefield', 'Andre Pelzer', 'Crystal Trevino', 'Sunday Flint', 'Stephanie West', 'Mark Docherty', 'Liz Vera', 'Ellen Crouch', 'Philippe Auguste', 'Will David', 'Dakota Millett', 'Samuel A. Alito Jr.', 'Tony LaThanh', 'Joshua Lewis Magee', 'Andrew Wills', 'Tod Waters', 'James Smith', 'Jarrod Dixon', 'Elle LaMont', 'Cat Merritt', 'John Anderson', 'Jorge Lendeborg Jr.', 'Lana Condor', 'Samuel Ali', 'Racer Rodriguez', 'Rick Yune', 'Dimitrius Pulido', 'Alan Trong', 'Sam Medina', 'King']",['Robert Rodriguez'],"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Argentina', 'Canada', 'Japan', 'United States']","['Future Dystopias', 'Journey of Self-Discovery', 'Robots and Androids', 'Technology Run Amok']","['Profanity', 'Sci-Fi Violence']"
965,Kong: Skull Island,2017,"A secret government organization mounts an expedition to Skull Island, an uncharted territory in the Pacific. Led by an explorer (John Goodman) and a lieutenant colonel (Samuel L. Jackson), the group recruit a disillusioned soldier (Tom Hiddleston) and a photojournalist (Brie Larson) to investigate the island's peculiar seismic activity. But once there, they discover that Skull Island is home to a gigantic ape called King Kong, and find themselves caught up in an ongoing war between the beast and the area's indigenous predators. Jordan Vogt-Roberts directed this reboot of the classic monster franchise.",118,8,PG13,"['Tom Hiddleston', 'Samuel L. Jackson', 'Brie Larson', 'John C. Reilly', 'John Goodman', 'Corey Hawkins', 'John Ortiz', 'Tian Jing', 'Toby Kebbell', 'Jason Mitchell', 'Shea Whigham', 'Thomas Mann', 'Eugene Cordero', 'Marc Evan Jackson', 'Will Brittain', 'Takamasa Ishihara', 'Richard Jenkins', 'Allyn Rachel', 'Robert Taylor', 'Brady Novak', 'Peter Karinen', 'Brian Sacca', 'Joshua Funk', 'Daniel F. Malone', 'Garreth Hadfield', 'Shannon Brimelow', 'Jon Quested', 'Jing Tian', 'Terry Notary', 'Miyavi', 'Daniel Malone', 'Glenn Kiwi Hall', 'Korey Williams', 'Dat Phan', 'Cynthy Wu', 'Beth Kennedy', 'Bryan Chojnowski', 'Tom Wilkinson', 'James Michael Connor', 'Thomas Middleditch']",['Jordan Vogt-Roberts'],"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Australia', 'China', 'United States', 'Vietnam']","['Daring Rescues', 'Fantasy Lands', 'Lost Worlds', 'Military Life', 'Monkeys', 'Obsessive Quests', 'Survival in the Wilderness', 'War in the Sky', 'When Animals Attack']","['Adult Language', 'Sci-Fi Violence']"
966,National Lampoon's Animal House,1978,"Director John Landis put himself on the map with this low-budget, fabulously successful comedy, which made a then-astounding 62 million dollars and started a slew of careers for its cast in the process. National Lampoon's Animal House is set in 1962 on the campus of Faber College in Faber, PA. The first glimpse we get of the campus is the statue of its founder Emil Faber, on the base of which is inscribed the motto, ""Knowledge Is Good."" Incoming freshmen Larry ""Pinto"" Kroger (Tom Hulce) and Kent ""Flounder"" Dorfman (Stephen Furst) find themselves rejected by the pretentious Omega fraternity, and instead pledge to Delta House. The Deltas are a motley fraternity of rejects and maladjusted undergraduates (some approaching their late twenties) whose main goal -- seemingly accomplished in part by their mere presence on campus -- is disrupting the staid, peaceful, rigidly orthodox, and totally hypocritical social order of the school, as represented by the Omegas and the college's dean, Vernon Wormer (John Vernon). Dean Wormer decides that this is the year he's going to get the Deltas expelled and their chapter decertified; he places the fraternity on ""double secret probation"" and, with help from Omega president Greg Marmalard (James Daughton) and hard-nosed member Doug Neidermeyer (Mark Metcalf), starts looking for any pretext on which to bring the members of the Delta fraternity up on charges. 
The Deltas, oblivious to the danger they're in, are having a great time, steeped in irreverence, mild debauchery, and occasional drunkenness, led by seniors Otter (Tim Matheson), Hoover (James Widdoes), D-Day (Bruce McGill), Boon (Peter Riegert), and pledge master John ""Bluto"" Blutarsky (John Belushi). They're given enough rope to hang themselves, but even then manage to get into comical misadventures on a road trip (where they arrange an assignation with a group of young ladies from Emily Dickinson University). Finally, they are thrown out of school, and, as a result, stripped of their student deferments (and, thus, eligible for the draft). They decide to commit one last, utterly senseless (and screamingly funny) slapstick act of rebellion, making a shambles of the university's annual homecoming parade, and, in the process, getting revenge on the dean, the Omegas, and everyone else who has ever gone against them.",108,10,R,"['John Belushi', 'Tim Matheson', 'Tom Hulce', 'Peter Riegert', 'Stephen Furst', 'John Vernon', 'Karen Allen', 'Kevin Bacon', 'Mary Louise Weller', 'James Daughton', 'Donald Sutherland', 'Bruce McGill', 'Mark Metcalf', 'Verna Bloom', 'Sarah Holcomb', 'Cesare Danova', 'Martha Smith', 'DeWayne Jessie', 'James Widdoes', 'Lisa Baur', 'Douglas Kenney', 'Chris Miller', 'Joshua Daniel', 'Bruce Bonnheim', 'Sunny Johnson', 'Stacy Grooman', 'Stephen Bishop', 'Aseneth Jurgenson', 'Katherine Denning', 'Raymone Robinson', 'Robert Elliott', 'Reginald H. Farmer', 'Jebidiah R. Dumas', 'Priscilla Lauris', 'Rick Eby', 'John Freeman', 'Sean McCartin', 'Helen Vick', 'Rick Greenough', 'Eliza Roberts', 'Robert Irvin Elliott', 'John Landis', 'Otis Day', 'Robert Cray', 'Daniel Peacock', 'Nick Berry', 'Caroline Quentin', 'Karl Howman', 'Gary Olsen', 'Kim Thomson']",['John Landis'],['Comedy'],['United States'],"['College Life', 'Underdogs', 'Arrested Adolescence', 'Class Differences', 'Feuds', 'Fighting the System', 'Teachers and Students']","['Adult Language', 'Adult Situations', 'Not For Children', 'Nudity']"
967,Heaven Can Wait,1943,"On the day of his death in 1943, the spirit of Henry Van Cleave (Don Ameche) obligingly heads for the place where so many people had previously told him to go. The immaculately dressed septuagenarian arrives at the outer offices of Hades, where he is greeted by His Excellency (Laird Cregar), the most courteous and gentlemanly Satan in screen history. His Excellency doubts that Van Cleave has sinned enough to qualify for entrance into Hades, but Henry insists that he's led the most wicked of lives, and proceeds to tell his story. Each milestone of Henry's life, it seems, has occurred on one of his birthdays. Upon reaching 15, Henry (played as a teenager by Dickie Moore) naively permits himself to get drunk with and be seduced by his family's French maid (Signe Hasso). At 21, Henry elopes with lovely Martha Strabel (Gene Tierney) stealing her away from her stuffy fiance Albert Van Cleve (Allyn Joslyn), Henry's cousin. At 31, Henry nearly loses Martha when, weary of his harmless extracurricular flirtations, she goes home to her boorish parents (Eugene Pallette and Marjorie Main). Henry's grandpa (Charles Coburn) orders the errant husband not to let so wonderful a girl as Martha get away from him. Henry once more declares his love to Martha, and she can't help but be touched by his boyish sincerity. Twenty years later, Henry, now a faithful and proper husband and father, attempts to charm a beautiful musical-comedy entertainer (Helen Walker) so that she'll forsake his young and impressionable son. But Henry's gay-90s romantic approach is out of touch with the Roaring 20s, and he ends up paying the entertainer a tidy sum to rescue his son--a fact that amuses Henry's understanding wife Martha, who now knows that her husband is hers and hers alone. Ten more years pass: Henry dances a last waltz with Martha, whose loving smile hides the fact that she knows she hasn't much longer to live. Five years later, it is ""foxy grandpa"" Henry who must be kept in check by his conservative son Jack (Michael Ames). Finally, it is 1943: as he quietly drinks in the loveliness of his night nurse (Doris Merrick), the bedridden Henry contentedly breathes his last. His story told, Henry once again asks to be permitted to enter Hades. But His Excellency, realizing that the only ""sin"" Henry has truly committed is attempting to live life to the fullest, quietly replies ""If you'll forgive me, Mr. Van Cleave, we just don't want your kind down here."" While he allows that Henry may have some trouble getting past the Pearly Gates, the wait will be worth it, since his loving wife Martha will be waiting for him. His Excellency cordially escorts Henry to the elevator, giving the operator a one-word instruction: ""Up."" A charming delight from first frame to last, Heaven Can Wait is another winner from director Ernst Lubitsch, and his first in Technicolor. Samson Raphaelson's screenplay was based on Birthdays, a play by Laslo Bus-Fekete.",112,10,NR,"['Don Ameche', 'Gene Tierney', 'Charles Coburn', 'Marjorie Main', 'Laird Cregar', 'Spring Byington', 'Allyn Joslyn', 'Eugène Pallette', 'Louis Calhern', 'Signe Hasso', 'Helene Reynolds', 'Aubrey Mather', 'Tod Andrews', 'Leonard Carey', 'Clarence Muse', 'Dickie Moore', 'Dick Jones', 'Trudy Marshall', 'Florence Bates', 'Clara Blandick', 'Anita Bolster', 'Anita Sharp Bolster', 'Alfred Hall', 'Nino Pipitone', 'Grayce Hampton', 'Nino Pipitone Jr.', 'Claire DuBrey', 'Charles Halton', 'James Flavin', 'Michael McLean', 'Scotty Beckett', 'Doris Merrick', 'Marlene Mains', 'Edwin Maxwell', 'Gerald Oliver Smith', 'Maureen Roden-Ryan']",['Ernst Lubitsch'],"['Comedy', 'Fantasy', 'Romance']",['United States'],['Redemption'],['Suitable for Children']
968,Grave of the Fireflies,1988,"Grave of the Fireflies opens on an evening in 1945, after Japan's surrender at the end of World War II; and in a train station, the young Seita dies alone. The rest of the movie tells us, in flashback, how things have come to this. Seita and Setsuko are two young Japanese children growing up in the waning days of World War II. Much to Seita's pride, their father is in the Japanese navy, and they live fairly content lives in Kobe despite rationing and the other privations of war. When their mother dies from burns suffered during an American fire-bombing raid, a distant aunt takes them in -- and conflict eventually forces the children to try to survive on their own. At first, Seita and his little sister enjoy their idyllic lives in the country, but harsh reality eventually settles in as Seita begins to understand the difficulties of taking care of a young child when both food and compassion are scarce.",88,10,NR,"['Yoshiko Shinohara', 'Akemi Yamaguchi', 'Tadashi Nakamura', 'Marcy Bannor', 'Shelley Calene-Black', 'Luci Christian', 'Justin Doran', 'Tsutomu Tatsumi', 'Ayano Shiraishi']",['Isao Takahata'],"['Drama', 'War', 'Fantasy']",['Japan'],"['Death of a Parent', 'Life on the Homefront', 'Orphans', 'Sibling Relationships']","['Questionable for Children', 'Violence']"
969,Mirek n'est Pas Parti,1995,"Czech immigrant Mirek is having a hard time dealing with middle-age. Compounding his woes is the fact that he must now leave his Paris ghetto flat and return to his homeland. This drama chronicles his last few days in the City of Light. It begins as all his furniture is hauled away. Next, the poor depressed fellow is seen giving away the last of his possessions to a few friends. As he has locked himself out, he must somehow find a place to sleep. Next he is robbed and then frisked by the police because they think anyone who looks as hangdog as he must be a criminal. The one bright spot, is that before he leaves, he manages to sleep with each of his girl friends.",77,6,NR,"['Jana Brezinova', 'Zuzana Bydzovská', 'Tomás Hanák', 'Eva Hodinova', 'Bojena Horackova', 'Bohumil Klepl', 'Jan Vlasák']",['Bojena Horackova'],['Comedy Drama'],['France'],"['Nothing Goes Right', 'Immigrant Life']","['Adult Situations', 'Sexual Situations']"
970,John Wick: Chapter 4,2023,"Directed by Chad Stahelski, the fourth installment of the John Wick franchise focuses on the assassin’s ultimate calling, beating The High Table once and for all. But it’s not an easy mission, as Wick must first confront a new, dangerous enemy with a massive global network. If he succeeds, he can finally free himself from the shackles of a violent life. The action thriller co-stars Keanu Reeves, Bill Skarsgård, Laurence Fishburne, Ian McShane, and Donnie Yen.",169,8,R,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Laurence Fishburne', 'Hiroyuki Sanada', 'Shamier Anderson', 'Lance Reddick', 'Rina Sawayama', 'Scott Adkins', 'Ian McShane', 'Marko Zaror', 'Natalia Tena', 'Aimée Kwan', 'Clancy Brown', 'George Georgiou', 'Vhelma Richardson', 'Brahim Chab', 'Jackey Mishra', 'Robert Bess', 'Selman Iyi', 'Mako San']",['Chad Stahelski'],"['Action', 'Crime', 'Thriller']","['Germany', 'United States']","['Assassination Plots', 'Lone Wolves']","['Graphic Violence', 'Profanity']"
971,The Night of the Hunter,1955,"Adapted by James Agee from a novel by Davis Grubb, The Night of the Hunter represented  legendary actor Charles Laughton's only film directing effort. Combining stark realism with Germanic expressionism, the movie is a brilliant good-and-evil parable, with ""good"" represented by a couple of farm kids and a pious old lady, and ""evil"" literally in the hands of a posturing psychopath. Imprisoned with thief Ben Harper (Peter Graves), phony preacher Harry Powell (Robert Mitchum) learns that Ben has hidden a huge sum of money somewhere near his home. Upon his release, the murderously misogynistic Powell insinuates himself into Ben's home, eventually marrying his widow Willa (Shelley Winters). Eventually all that stands between Powell and the money are Ben's son (Billy Chapin) and daughter (Sally Jane Bruce), who take refuge in a home for abandoned children presided over by the indomitable, scripture-quoting Rachel Cooper (Lillian Gish). The war of wills between Mitchum and Gish is the heart of the film's final third, a masterful blend of horror and lyricism. Laughton's tight, disciplined direction is superb -- and all the more impressive when one realizes that he intensely disliked all child actors. The music by Walter Schumann and the cinematography of Stanley Cortez are every bit as brilliant as the contributions by Laughton and Agee. Overlooked on its first release, The Night of the Hunter is now regarded as a classic.",93,10,NR,"['Robert Mitchum', 'Shelley Winters', 'Billy Chapin', 'Sally Jane Bruce', 'Peter Graves', 'Lillian Gish', 'Evelyn Varden', 'James Gleason', 'Don Beddoe', 'Gloria Castillo', 'Mary Ellen Clemons', 'Cheryl Callaway', 'Paul Bryar', 'Emmett Lynn', 'Corey Allen']",['Charles Laughton'],"['Mystery', 'Thriller', 'Spirituality & Philosophy']",['United States'],"['Southern Gothic', 'Mind Games', 'Sibling Relationships', ""Wolf in Sheep's Clothing"", 'Religious Zealotry', 'Inheritance at Stake', 'Mysterious Strangers', 'Treacherous Spouses', 'Widows and Widowers']",['Not For Children']
972,In Fabric,2020,"Recently divorced mother Sheila (Marianne Jean-Baptiste) heads to Dentley & Soper’s department store, where she looks past the unsettling staff to purchase a fiery red dress to help her get back in the dating scene. The dress makes its wearer feel fabulous but comes with a demonic curse, terrorizing everyone who puts it on. Directed by Peter Strickland.",118,9,R,"['Marianne Jean-Baptiste', 'Sidse Babett Knudsen', 'Hayley Squires', 'Leo Bill', 'Julian Barratt', 'Steve Oram', 'Barry Adamson', 'Jaygann Ayeh', 'Richard Bremmer', 'Terry Bird', 'Fatma Mohamed', 'Gwendoline Christie', 'Kim Benson', 'Pano Masti', 'Antonio Mancino', 'Caroline Catz', 'Gavin Brocker', 'Anthony Adjekum', 'Sara Dee', 'Susanna Cappellaro', 'Deborah Griffin', 'Eugenia Caruso', 'Simon Manyonda', 'Karl Farrer']",['Peter Strickland'],"['Horror', 'Comedy']",['United Kingdom'],['Ghosts'],"['Gore', 'Strong Sexual Content']"
973,Beautiful Sunday,1998,"Tetsuya Nakajima directs this black comedy about Sunday, that day of rest. Constructed like Grand Hotel, the film interweaves the lives of an assorted collection of oddball Tokyoites living in the same apartment building.  A bored young couple's (Masatoshi Nagase and Momoko Bito) attempts at playing catch are thwarted by interruption after interruption. Finally, when their ball goes astray and dents a new Porsche, the irate owner (Matsuo Bannai) chases after them looking for blood. At the same time, a half-Japanese, half-black teenager (Reika Matsumoto) only wants to read her book, away from her spacey mom (Kyoko Endo), who is obsessed with famed film geek Masaki Kyomoto. Unfortunately a bullying gang of girls torments her, ultimately locking her in the bathroom of the cram school she attends. Other eccentrics in the apartment include an old lady (noted dancer Mamako Yoneyama) who screams every day at noon to prove that she exists, a woman obsessed with her own reflection (Noriko Nagi), and a weirdo artist who tries to seduce her married neighbor by showing him her self-portraits.",93,6,[],"['Masatoshi Nagase', 'Momoko Bitoh', 'Kumiko Nakamura', 'Mamako Yoneyama', 'Kyoko Endoh', 'Noriko Nagi', 'Bannai Matsuo']",['Tetsuya Nakashima'],['Comedy Drama'],[],[],[]
